City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Hermanus,ZA,2020-04-05 12:46:37,-34.42,19.23,69.01,68,56,8.01,broken clouds,0.0,0.0
1,Punta Arenas,CL,2020-04-05 12:45:44,-53.15,-70.92,39.2,80,20,23.04,few clouds,0.0,0.0
2,Busselton,AU,2020-04-05 12:39:36,-33.65,115.33,64.99,39,90,13.18,overcast clouds,0.0,0.0
3,Yar-Sale,RU,2020-04-05 12:39:45,66.83,70.83,33.6,99,100,6.64,overcast clouds,0.0,0.0
4,Torbay,CA,2020-04-05 12:43:05,47.67,-52.73,30.99,79,90,12.75,overcast clouds,0.0,0.0
5,Karak,JO,2020-04-05 12:46:39,31.17,35.75,86.0,17,100,6.93,haze,0.0,0.0
6,Havre-Saint-Pierre,CA,2020-04-05 12:39:20,50.23,-63.6,30.2,92,90,6.93,overcast clouds,0.0,0.0
7,Port Alfred,ZA,2020-04-05 12:39:25,-33.59,26.89,69.01,86,21,4.0,few clouds,0.0,0.0
8,Ushuaia,AR,2020-04-05 12:46:40,-54.8,-68.3,37.4,85,75,23.04,broken clouds,0.0,0.0
9,Jamestown,US,2020-04-05 12:44:47,42.1,-79.24,48.0,81,75,1.72,broken clouds,0.0,0.0
10,Kruisfontein,ZA,2020-04-05 12:46:41,-34.0,24.73,70.25,62,91,13.76,overcast clouds,0.0,0.0
11,Dikson,RU,2020-04-05 12:39:33,73.51,80.55,20.34,98,100,3.42,light snow,0.0,0.32
12,Bredasdorp,ZA,2020-04-05 12:44:08,-34.53,20.04,78.8,29,44,19.46,scattered clouds,0.0,0.0
13,Codrington,AU,2020-04-05 12:39:52,-38.27,141.97,54.03,77,68,11.92,light rain,0.35,0.0
14,Grand Gaube,MU,2020-04-05 12:39:17,-20.01,57.66,82.99,74,75,11.41,broken clouds,0.0,0.0
15,Vila Franca Do Campo,PT,2020-04-05 12:40:31,37.72,-25.43,59.0,93,75,12.75,broken clouds,0.0,0.0
16,Itupeva,BR,2020-04-05 12:46:43,-23.15,-47.06,70.0,68,2,8.05,clear sky,0.0,0.0
17,Melilla,ES,2020-04-05 12:46:43,35.29,-2.94,66.2,77,90,9.17,overcast clouds,0.0,0.0
18,Saint Anthony,US,2020-04-05 12:40:57,45.02,-93.22,32.0,92,75,5.82,broken clouds,0.0,0.0
19,Necochea,AR,2020-04-05 12:41:02,-38.55,-58.74,62.01,88,32,3.0,scattered clouds,0.0,0.0
20,Ilulissat,GL,2020-04-05 12:40:11,69.22,-51.1,6.8,50,0,24.16,clear sky,0.0,0.0
21,Khanpur,PK,2020-04-05 12:46:45,28.65,70.66,96.87,14,0,4.79,clear sky,0.0,0.0
22,Qaqortoq,GL,2020-04-05 12:41:17,60.72,-46.03,23.0,32,99,40.26,overcast clouds,0.0,0.0
23,Ponta Do Sol,PT,2020-04-05 12:39:55,32.67,-17.1,69.8,77,40,16.11,scattered clouds,0.0,0.0
24,Pimentel,PE,2020-04-05 12:41:51,-6.84,-79.93,66.2,29,77,10.29,light rain,0.61,0.0
25,Port Elizabeth,ZA,2020-04-05 12:46:46,-33.92,25.57,69.8,68,72,20.8,broken clouds,0.0,0.0
26,Longyearbyen,SJ,2020-04-05 12:39:43,78.22,15.64,5.0,60,20,6.93,few clouds,0.0,0.0
27,Marawi,PH,2020-04-05 12:40:34,8.0,124.29,69.28,73,33,2.55,light rain,0.14,0.0
28,Bambous Virieux,MU,2020-04-05 12:41:02,-20.34,57.76,82.99,74,75,11.41,broken clouds,0.0,0.0
29,Georgetown,MY,2020-04-05 12:38:43,5.41,100.34,78.8,100,20,1.12,thunderstorm with light rain,0.0,0.0
30,Muros,ES,2020-04-05 12:46:48,42.78,-9.06,61.0,93,90,14.99,light rain,0.0,0.0
31,Agadir,MA,2020-04-05 12:42:31,30.42,-9.6,75.2,50,28,10.29,scattered clouds,0.0,0.0
32,Dingle,PH,2020-04-05 12:39:52,11.0,122.67,79.79,71,0,7.2,clear sky,0.0,0.0
33,Nantucket,US,2020-04-05 12:40:41,41.28,-70.1,43.0,81,90,4.7,overcast clouds,0.0,0.0
34,Uri,IN,2020-04-05 12:46:50,34.08,74.03,59.07,29,100,2.28,light rain,0.54,0.0
35,Lubao,PH,2020-04-05 12:40:16,14.92,120.55,86.0,45,20,2.98,few clouds,0.0,0.0
36,Arraial Do Cabo,BR,2020-04-05 12:39:18,-22.97,-42.03,78.8,69,20,10.29,few clouds,0.0,0.0
37,Touros,BR,2020-04-05 12:40:03,-5.2,-35.46,86.0,79,75,6.93,broken clouds,0.0,0.0
38,Dwarka,IN,2020-04-05 12:41:05,22.24,68.97,80.47,70,3,14.72,clear sky,0.0,0.0
39,Qaanaaq,GL,2020-04-05 12:39:31,77.48,-69.36,16.32,85,100,7.4,overcast clouds,0.0,0.0
40,Namibe,AO,2020-04-05 12:40:49,-15.2,12.15,77.56,65,14,10.09,few clouds,0.0,0.0
41,Veinticinco De Mayo,AR,2020-04-05 12:46:53,-35.43,-60.17,62.11,60,27,5.57,scattered clouds,0.0,0.0
42,Sabratah,LY,2020-04-05 12:46:53,32.79,12.49,63.01,54,61,9.15,broken clouds,0.0,0.0
43,Oranjemund,NA,2020-04-05 12:46:53,-28.55,16.43,66.31,67,42,13.38,scattered clouds,0.0,0.0
44,San Carlos,VE,2020-04-05 12:46:54,9.66,-68.58,82.15,67,90,3.83,overcast clouds,0.0,0.0
45,Klaksvik,FO,2020-04-05 12:39:31,62.23,-6.59,46.4,87,100,31.09,light rain,0.0,0.0
46,Opatovice Nad Labem,CZ,2020-04-05 12:46:54,50.15,15.79,59.0,24,0,13.87,clear sky,0.0,0.0
47,Ushtobe,KZ,2020-04-05 12:40:51,45.25,77.98,72.43,23,98,3.74,overcast clouds,0.0,0.0
48,Praia Da Vitoria,PT,2020-04-05 12:46:56,38.73,-27.07,55.4,93,75,12.26,light rain,0.0,0.0
49,Husavik,IS,2020-04-05 12:39:26,66.04,-17.34,24.8,85,90,36.91,light snow,0.0,0.0
50,Rawicz,PL,2020-04-05 12:46:56,51.61,16.86,57.99,33,1,8.05,clear sky,0.0,0.0
51,East London,ZA,2020-04-05 12:46:57,-33.02,27.91,69.8,77,29,14.99,scattered clouds,0.0,0.0
52,Talavera,PH,2020-04-05 12:46:57,15.62,120.93,84.2,45,20,4.83,few clouds,0.0,0.0
53,Lebu,CL,2020-04-05 12:40:07,-37.62,-73.65,52.7,75,17,8.1,few clouds,0.0,0.0
54,Kasane,BW,2020-04-05 12:46:58,-17.82,25.15,86.0,45,40,6.93,scattered clouds,0.0,0.0
55,Pedernales,DO,2020-04-05 12:46:58,18.04,-71.74,73.4,94,20,4.7,few clouds,0.0,0.0
56,Falun,SE,2020-04-05 12:46:59,60.6,15.63,46.0,75,99,10.29,drizzle,0.0,0.0
57,San Matias,BO,2020-04-05 12:46:59,-16.37,-58.4,79.12,82,87,5.28,overcast clouds,0.0,0.0
