,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Karak,JO,86.0,haze,31.17,35.75,Cairwan Hotel
14,Grand Gaube,MU,82.99,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
28,Bambous Virieux,MU,82.99,broken clouds,-20.34,57.76,Casa Tia Villa
35,Lubao,PH,86.0,few clouds,14.92,120.55,Hacienda Gracia
37,Touros,BR,86.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
38,Dwarka,IN,80.47,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
44,San Carlos,VE,82.15,overcast clouds,9.66,-68.58,Hotel Paternopoli
52,Talavera,PH,84.2,few clouds,15.62,120.93,R&G's Resort
54,Kasane,BW,86.0,scattered clouds,-17.82,25.15,Cresta Mowana
64,Anloga,GH,89.6,few clouds,5.79,0.9,Dey Lodge
68,Micheweni,TZ,85.5,light rain,-4.97,39.83,
76,Kavaratti,IN,89.6,few clouds,10.57,72.64,Bismillah Hotel And Lodging
77,Saint-Philippe,RE,82.4,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
80,Vieux-Habitants,GP,82.4,broken clouds,16.06,-61.77,Gîtes Dardanelle
82,Cayenne,GF,84.2,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
83,Ampanihy,MG,89.38,overcast clouds,-24.7,44.75,Angora Hotel
91,Salalah,OM,86.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
96,Tabou,CI,88.57,broken clouds,4.42,-7.35,hotêl doufoulougou
103,Sao Jose Da Coroa Grande,BR,84.51,broken clouds,-8.9,-35.15,Crôa Mares Hotel
107,Hobyo,SO,88.02,broken clouds,5.35,48.53,
109,Porto Novo,BJ,89.6,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
121,Souillac,MU,82.99,broken clouds,-20.52,57.52,Bils' Villa
126,Koungou,YT,89.6,few clouds,-12.73,45.2,Villa Netibor
127,Saint-Pierre,RE,82.4,few clouds,-21.34,55.48,Lindsey Hôtel
128,Bandarbeyla,SO,85.12,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
140,Turayf,SA,86.0,overcast clouds,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
142,Hidrolandia,BR,82.72,scattered clouds,-4.41,-40.44,Hotel Ideal
143,Bata,GQ,89.6,scattered clouds,1.86,9.77,Hotel Carmen
145,Hithadhoo,MV,83.08,overcast clouds,-0.6,73.08,Scoop Guest House
149,Chinsali,ZM,80.62,light rain,-10.54,32.08,Mwiluzi Motel Chinsali Ltd
156,San Cristobal,VE,80.6,scattered clouds,7.77,-72.22,Pirineos
157,Catumbela,AO,82.27,light rain,-12.43,13.55,Hotel Do Kamgamba
159,Aksum,ET,87.42,clear sky,14.12,38.72,Remhay Hotel
