City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Comodoro Rivadavia,AR,2020-04-04 15:19:36,-45.87,-67.5,59.0,40,0,19.46
1,Bijar,IR,2020-04-04 15:20:11,35.87,47.61,46.71,30,31,16.67
2,Bereda,ES,2020-04-04 15:20:12,43.27,-7.54,71.6,35,87,14.99
3,Soyo,AO,2020-04-04 15:20:12,-6.13,12.37,86.0,84,75,5.82
4,Terrace Bay,CA,2020-04-04 15:20:12,48.78,-87.1,28.4,92,90,9.17
5,Bredasdorp,ZA,2020-04-04 15:20:13,-34.53,20.04,75.2,44,100,21.92
6,Mar Del Plata,AR,2020-04-04 15:20:12,-38.0,-57.56,69.01,64,0,19.46
7,Port Alfred,ZA,2020-04-04 15:20:13,-33.59,26.89,78.01,66,3,9.51
8,Dingle,PH,2020-04-04 15:20:40,11.0,122.67,79.32,77,0,10.63
9,Upernavik,GL,2020-04-04 15:18:05,72.79,-56.15,14.54,80,0,14.43
10,Belmonte,BR,2020-04-04 15:20:41,-15.86,-38.88,89.6,66,20,10.29
11,Salalah,OM,2020-04-04 15:20:41,17.02,54.09,82.4,74,20,9.17
12,Ejido,VE,2020-04-04 15:20:42,8.55,-71.24,75.9,47,12,1.61
13,Hamilton,US,2020-04-04 15:20:42,39.18,-84.53,60.01,50,90,6.93
14,Chuy,UY,2020-04-04 15:20:43,-33.7,-53.46,70.0,49,15,5.73
15,Cidreira,BR,2020-04-04 15:20:43,-30.18,-50.21,71.49,62,17,9.69
16,Santa Fe,AR,2020-04-04 15:18:18,-31.63,-60.7,78.01,40,0,7.0
17,Mahebourg,MU,2020-04-04 15:20:44,-20.41,57.7,78.8,78,75,6.93
18,Zemio,CF,2020-04-04 15:20:44,5.03,25.14,88.63,43,60,3.71
19,Arraial Do Cabo,BR,2020-04-04 15:20:45,-22.97,-42.03,80.6,57,0,24.16
20,Quetta,PK,2020-04-04 15:20:45,30.2,67.01,58.87,33,54,3.09
21,Qasigiannguit,GL,2020-04-04 15:20:45,68.82,-51.19,8.6,60,5,19.46
22,Richards Bay,ZA,2020-04-04 15:20:46,-28.78,32.04,70.95,81,100,20.11
23,Bilyayivka,UA,2020-04-04 15:20:46,46.48,30.22,51.8,62,72,6.71
24,Carutapera,BR,2020-04-04 15:20:47,-1.2,-46.02,83.37,79,99,7.85
25,Busselton,AU,2020-04-04 15:20:48,-33.65,115.33,64.0,30,83,12.41
26,Grindavik,IS,2020-04-04 15:20:48,63.84,-22.43,30.2,63,90,27.51
27,Greenville,US,2020-04-04 15:20:48,35.61,-77.37,63.0,51,1,6.93
28,Nieuwpoort,BE,2020-04-04 15:20:49,51.12,2.77,64.0,44,7,9.17
29,Luderitz,NA,2020-04-04 15:20:51,-26.65,15.16,66.2,68,0,5.82
30,Oriximina,BR,2020-04-04 15:20:51,-1.77,-55.87,84.92,68,100,3.31
31,Yanam,IN,2020-04-04 15:20:51,16.73,82.22,80.15,76,0,6.17
32,Sinnamary,GF,2020-04-04 15:20:52,5.38,-52.95,83.34,76,64,14.14
33,Qaanaaq,GL,2020-04-04 15:20:52,77.48,-69.36,9.93,80,81,7.23
34,Talnakh,RU,2020-04-04 15:20:53,69.49,88.4,30.2,92,75,24.61
35,Zenzeli,RU,2020-04-04 15:20:53,45.92,47.05,56.23,49,47,7.09
36,Chirongui,YT,2020-04-04 15:20:54,-12.93,45.15,84.2,62,26,4.7
37,Iqaluit,CA,2020-04-04 15:20:54,63.75,-68.51,-4.0,64,5,21.92
38,Neuquen,AR,2020-04-04 15:20:54,-38.95,-68.06,68.0,30,30,2.24
39,Bambous Virieux,MU,2020-04-04 15:20:55,-20.34,57.76,78.8,78,75,6.93
40,Ushuaia,AR,2020-04-04 15:20:55,-54.8,-68.3,42.8,75,75,17.22
41,Jamestown,US,2020-04-04 15:20:21,42.1,-79.24,50.0,65,90,1.36
42,Mehamn,NO,2020-04-04 15:20:56,71.04,27.85,26.85,90,100,28.81
43,Kamien Pomorski,PL,2020-04-04 15:20:56,53.97,14.77,53.01,40,25,6.93
44,Antofagasta,CL,2020-04-04 15:20:57,-23.65,-70.4,73.4,56,0,4.7
45,Gravdal,NO,2020-04-04 15:20:57,68.12,13.5,24.8,85,75,13.87
46,Sotouboua,TG,2020-04-04 15:20:58,8.57,0.98,97.74,33,94,6.24
47,Saint-Augustin,CA,2020-04-04 15:20:58,51.23,-58.65,28.94,91,100,4.56
48,Chapais,CA,2020-04-04 15:20:59,49.78,-74.85,39.2,69,75,3.36
49,Hermanus,ZA,2020-04-04 15:20:59,-34.42,19.23,73.0,92,99,8.99
50,Saint-Philippe,RE,2020-04-04 15:20:59,-21.36,55.77,78.8,78,75,11.41
51,Kattivakkam,IN,2020-04-04 15:21:00,13.22,80.32,86.0,70,20,9.17
52,Hithadhoo,MV,2020-04-04 15:16:35,-0.6,73.08,83.46,77,13,11.59
53,Csurgo,HU,2020-04-04 15:21:00,46.25,17.1,63.0,29,12,13.87
54,Filingue,NE,2020-04-04 15:21:01,14.35,3.32,109.44,6,17,3.2
55,Sabzevar,IR,2020-04-04 15:21:01,36.21,57.68,66.06,32,52,4.52
56,East London,ZA,2020-04-04 15:21:02,-33.02,27.91,82.4,54,34,9.17
57,Saldanha,ZA,2020-04-04 15:21:02,-33.01,17.94,66.2,72,100,13.87
58,Kargasok,RU,2020-04-04 15:21:03,59.06,80.86,32.0,95,0,8.57
59,Remanso,BR,2020-04-04 15:21:03,-9.62,-42.08,86.83,55,69,2.44
60,Sisimiut,GL,2020-04-04 15:21:04,66.94,-53.67,16.14,81,0,10.04
61,Margate,GB,2020-04-04 15:21:04,51.38,1.39,59.0,47,20,11.41
62,Vestmannaeyjar,IS,2020-04-04 15:21:05,63.44,-20.27,28.4,92,75,53.02
63,Touros,BR,2020-04-04 15:21:05,-5.2,-35.46,89.6,62,75,14.99
64,Mana,GF,2020-04-04 15:19:09,5.66,-53.78,85.12,70,75,11.03
65,Tessalit,ML,2020-04-04 15:21:06,20.2,1.01,101.95,6,0,12.1
66,Luwingu,ZM,2020-04-04 15:21:06,-10.26,29.93,71.51,52,72,3.71
67,Narsaq,GL,2020-04-04 15:21:07,60.92,-46.05,32.0,90,75,9.17
68,Skjervoy,NO,2020-04-04 15:21:07,70.03,20.97,30.06,86,43,22.1
69,Gazojak,TM,2020-04-04 15:21:08,41.19,61.4,68.04,40,91,11.03
70,Port Elizabeth,ZA,2020-04-04 15:21:08,-33.92,25.57,80.6,51,1,8.05
71,Husavik,IS,2020-04-04 15:21:08,66.04,-17.34,21.2,79,75,39.15
72,Aksu,CN,2020-04-04 15:21:09,41.12,80.26,59.54,21,40,4.79
73,Torbay,CA,2020-04-04 15:21:09,47.67,-52.73,35.01,92,90,13.87
74,Noyabrsk,RU,2020-04-04 15:21:09,63.2,75.45,34.88,84,45,23.44
75,Balkanabat,TM,2020-04-04 15:21:10,39.51,54.37,69.35,40,100,4.65
76,Victoria,HK,2020-04-04 15:18:40,22.29,114.16,70.0,94,40,9.17
77,Rabo De Peixe,PT,2020-04-04 15:21:10,37.8,-25.58,62.6,77,20,27.51
78,Codrington,AU,2020-04-04 15:21:11,-38.27,141.97,53.62,73,71,24.92
79,Dikson,RU,2020-04-04 15:21:11,73.51,80.55,2.71,94,0,9.55
80,North Myrtle Beach,US,2020-04-04 15:21:12,33.82,-78.68,68.0,39,1,3.36
81,Pontes E Lacerda,BR,2020-04-04 15:21:12,-15.23,-59.34,84.92,62,42,3.4
82,Punta Arenas,CL,2020-04-04 15:21:13,-53.15,-70.92,42.8,93,90,12.75
83,Pangnirtung,CA,2020-04-04 15:21:13,66.15,-65.71,-2.2,64,20,11.41
84,Danane,CI,2020-04-04 15:21:14,7.26,-8.15,96.94,34,37,2.24
85,Brae,GB,2020-04-04 15:21:14,60.4,-1.35,46.4,87,100,17.22
86,Bloemhof,ZA,2020-04-04 15:21:15,-27.65,25.61,72.45,29,67,7.02
87,El Mochito,HN,2020-04-04 15:21:15,14.87,-88.08,84.2,62,20,4.7
88,Shambu,ET,2020-04-04 15:21:16,9.57,37.1,71.22,22,53,2.82
89,San Carlos Del Zulia,VE,2020-04-04 15:21:16,9.0,-71.91,87.19,65,22,3.11
90,Skagen,DK,2020-04-04 15:21:17,57.72,10.58,44.01,79,98,8.01
91,Tasiilaq,GL,2020-04-04 15:21:17,65.61,-37.64,19.4,44,40,23.04
92,San Rafael,AR,2020-04-04 15:21:17,-34.62,-68.33,71.71,28,0,14.56
93,Cape Town,ZA,2020-04-04 15:19:47,-33.93,18.42,73.99,72,100,6.93
94,Odweyne,SO,2020-04-04 15:21:18,9.41,45.06,84.9,18,99,11.61
95,Robertsport,LR,2020-04-04 15:16:56,6.75,-11.37,85.44,70,74,6.51
96,Sabla,NG,2020-04-04 15:21:19,12.75,4.71,108.82,9,78,4.81
97,Japura,ID,2020-04-04 15:21:20,-0.32,102.35,76.86,95,80,2.53
98,Cotui,DO,2020-04-04 15:21:20,19.05,-70.15,87.8,88,75,4.88
99,Cabedelo,BR,2020-04-04 15:21:21,-6.98,-34.83,87.8,74,75,12.75
